# mammos csv v3
#----------------------------------------
# Michelson's 1879 determination of the speed of light: the instrument readings.
# 
# A. A. Michelson, "Experimental Determination of the Velocity of Light", Astronomical Papers of the American Ephemeris 1 (1880) 109-145. 100 observations made at the U.S. Naval Academy, Annapolis, 5 June - 2 July 1879. Transcribed via the R package loon.data (michelson_1879); see also MacKay and Oldford, Statistical Science 15(3) 254-278 (2000), doi:10.1214/ss/1009212817.
# 
# Rotating-mirror method. Light travels from the revolving mirror to a fixed mirror and back while the mirror turns; the returned beam is deflected by twice the mirror rotation and read at radial distance r as a displacement d, giving c = 8 * pi * N * D * r / d
# 
# The apparatus constant D is the separation of the revolving and the fixed mirror. It is not part of the observation table and is recorded only here: D = 1986.23 ft = 605.4029 m
# 
# The revolving mirror rotates with frequence N. The speed of light is not stored in this file: it is derived from these readings. Note that the light travelled in air, not in vacuum.
#----------------------------------------
Frequency,RadialDistance,AngularDisplacement,Length,Distance
257.39,8.7349584,114.47,0.00099614,0.1140281458
257.39,8.7349584,114.46,0.00099614,0.11401818439999999
257.39,8.7361776,114.47,0.00099614,0.1140281458
257.39,8.735568,114.5,0.00099614,0.11405802999999999
257.39,8.741054400000001,114.53,0.00099614,0.1140879142
257.29,8.743188,114.52,0.00099614,0.1140779528
257.29,8.743188,114.54,0.00099614,0.1140978756
257.45,8.744712000000002,114.74,0.00099614,0.11429710359999999
257.45,8.744712000000002,114.7,0.00099614,0.114257258
257.45,8.744712000000002,114.68,0.00099614,0.1142373352
257.49,8.586825600000001,112.56,0.00099614,0.1121255184
257.49,8.586825600000001,112.56,0.00099614,0.1121255184
257.49,8.586825600000001,112.57,0.00099614,0.11213547979999999
257.42,8.588654400000001,112.56,0.00099614,0.1121255184
257.42,8.588654400000001,112.56,0.00099614,0.1121255184
257.42,8.588654400000001,112.57,0.00099614,0.11213547979999999
257.42,8.588654400000001,112.56,0.00099614,0.1121255184
257.42,8.588654400000001,112.57,0.00099614,0.11213547979999999
258.7,8.580729600000002,113.15,0.00099614,0.112713241
255.69,8.580729600000002,111.88,0.00099614,0.11144814319999999
257.58,8.580729600000002,112.57,0.00099614,0.11213547979999999
257.6,8.580729600000002,112.57,0.00099614,0.11213547979999999
257.59,8.580729600000002,112.55,0.00099614,0.11211555699999999
257.57,8.580729600000002,112.57,0.00099614,0.11213547979999999
257.56,8.580729600000002,112.57,0.00099614,0.11213547979999999
257.36,8.5828632,112.52,0.00099614,0.1120856728
257.33,8.5828632,112.5,0.00099614,0.11206574999999999
257.32,8.5828632,112.46,0.00099614,0.11202590439999999
257.32,8.5828632,112.47,0.00099614,0.1120358658
257.32,8.5828632,112.49,0.00099614,0.11205578859999998
257.62,8.5798152,112.59,0.00099614,0.1121554026
257.59,8.5798152,112.58,0.00099614,0.11214544119999999
257.58,8.5798152,112.59,0.00099614,0.1121554026
257.43,8.5822536,112.54,0.00099614,0.1121055956
257.43,8.5822536,112.51,0.00099614,0.1120757114
257.43,8.5822536,112.51,0.00099614,0.1120757114
257.43,8.5822536,112.51,0.00099614,0.1120757114
257.43,8.5822536,112.52,0.00099614,0.1120856728
257.65,8.58012,112.64,0.00099614,0.1122052096
257.65,8.58012,112.64,0.00099614,0.1122052096
257.62,8.58012,112.66,0.00099614,0.1122251324
257.43,8.582558400000002,112.52,0.00099614,0.1120856728
257.43,8.582558400000002,112.48,0.00099614,0.1120458272
257.43,8.582558400000002,112.49,0.00099614,0.11205578859999998
257.65,8.586825600000001,112.67,0.00099614,0.11223509379999999
257.63,8.586825600000001,112.65,0.00099614,0.112215171
257.62,8.586825600000001,112.67,0.00099614,0.11223509379999999
257.61,8.586825600000001,112.66,0.00099614,0.1122251324
257.36,10.163556,133.21,0.00099627,0.13271312670000002
257.4,10.163556,133.23,0.00099627,0.1327330521
257.39,10.163556,133.22,0.00099627,0.1327230894
257.39,10.163556,133.24,0.00099627,0.1327430148
257.38,10.163556,133.22,0.00099627,0.1327230894
257.38,10.163556,133.22,0.00099627,0.1327230894
257.65,10.159593600000001,133.29,0.00099627,0.1327928283
257.64,10.159593600000001,133.31,0.00099627,0.1328127537
257.63,10.159593600000001,133.31,0.00099627,0.1328127537
257.61,10.159593600000001,133.3,0.00099627,0.13280279100000003
257.6,10.159593600000001,133.3,0.00099627,0.13280279100000003
257.42,10.158984,133.21,0.00099627,0.13271312670000002
257.38,10.158984,133.19,0.00099627,0.1326932013
257.37,10.158984,133.2,0.00099627,0.13270316399999998
257.38,10.158984,133.2,0.00099627,0.13270316399999998
257.38,10.158984,133.19,0.00099627,0.1326932013
257.32,10.163556,133.16,0.00099627,0.1326633132
257.33,10.163556,133.15,0.00099627,0.13265335050000002
257.32,10.163556,133.17,0.00099627,0.1326732759
257.3,10.163556,133.16,0.00099627,0.1326633132
257.29,10.163556,133.16,0.00099627,0.1326633132
257.5,10.155631200000002,133.2,0.00099627,0.13270316399999998
257.49,10.155631200000002,133.17,0.00099627,0.1326732759
257.48,10.155631200000002,133.16,0.00099627,0.1326633132
257.47,10.155631200000002,133.16,0.00099627,0.1326633132
257.45,10.155631200000002,133.18,0.00099627,0.1326832386
257.33,10.1617272,133.15,0.00099627,0.13265335050000002
257.33,10.1617272,133.17,0.00099627,0.1326732759
257.46,10.158374400000001,133.22,0.00099627,0.1327230894
257.44,10.158374400000001,133.2,0.00099627,0.13270316399999998
257.43,10.158374400000001,133.21,0.00099627,0.13271312670000002
257.42,10.158374400000001,133.19,0.00099627,0.1326932013
257.42,10.158374400000001,133.2,0.00099627,0.13270316399999998
257.42,10.158374400000001,133.19,0.00099627,0.1326932013
193.0,10.141915200000001,99.68,0.00099645,0.09932613600000001
193.0,10.141915200000001,99.67,0.00099645,0.09931617150000001
193.0,10.141915200000001,99.66,0.00099645,0.09930620700000001
193.0,10.141915200000001,99.66,0.00099645,0.09930620700000001
257.35,10.144353599999999,132.98,0.00099627,0.1324839846
257.34,10.144353599999999,133.0,0.00099627,0.13250391
257.28,10.153192800000001,133.01,0.00099627,0.1325138727
257.28,10.153192800000001,133.0,0.00099627,0.13250391
192.95,10.120884,99.45,0.00099606,0.099058167
128.63,10.120884,66.34,0.0009958599999999999,0.0660653524
96.48,10.120884,49.76,0.0009958,0.049551008
64.32,10.120884,33.17,0.00099574,0.0330286958
